"LAT","LON","LAT1","LON1","SHIPNAME","ship_type","distance","DATETIME"
57.65243,11.72356,57.65739,11.75459,"FICARIA SEAWAYS","Cargo",1929,2016-12-15 17:05:05.000000
59.91375,30.03851,59.91904,30.01286,"FINNHAWK","Cargo",1548,2016-12-16 06:31:04.000000
54.79053,18.89155,54.6725,18.99983,"FINNKRAFT","Cargo",14869,2016-12-15 16:49:02.000000
59.92145,30.002,59.91888,30.01486,"FINNMILL","Cargo",772,2016-12-15 09:57:04.000000
54.53655,18.79908,54.38005,18.65504,"FINNPULP","Cargo",19758,2016-12-19 07:39:08.000000
59.88737,30.17005,59.89004,30.15668,"FINNTIDE","Cargo",804,2016-12-20 03:17:03.000000
59.91424,30.03777,59.90972,30.06001,"FINNWAVE","Cargo",1339,2016-12-15 17:29:03.000000
59.90627,30.27033,59.9109,30.26538,"FITTER","Cargo",585,2016-12-15 22:15:03.000000
54.53627,18.5201,54.53645,18.51995,"FJORDVIK","Cargo",22,2016-12-15 15:11:08.000000
54.64883,19.86498,54.6327,19.90475,"FOREST","Cargo",3129,2016-12-15 19:07:03.000000
55.72543,21.09268,55.71317,21.11337,"FORSETI","Cargo",1883,2016-12-17 19:35:06.000000
54.54131,18.52987,54.54143,18.52991,"FRANCISCA","Cargo",14,2016-12-18 16:47:07.000000
55.14994,19.80358,54.5271,18.79349,"FREDERIK","Cargo",94868,2016-12-17 00:15:03.000000
57.64865,11.70891,57.62766,11.68233,"FREESIA SEAWAYS","Cargo",2823,2016-12-16 21:43:08.000000
57.66083,11.77167,57.67333,11.798,"FREYA","Cargo",2096,2016-12-15 16:05:06.000000
54.53355,18.52492,54.79827,18.63283,"FRI OCEAN","Cargo",30276,2016-12-13 11:31:08.000000
59.90305,30.09235,59.90734,30.07189,"FRI PORSGRUNN","Cargo",1238,2016-12-14 15:07:03.000000
55.73383,20.8565,55.73333,20.90433,"FRI STREAM","Cargo",2998,2016-12-16 22:59:06.000000
55.72581,21.09032,55.7151,21.10993,"FRIGGA","Cargo",1713,2016-12-18 21:53:06.000000
55.72822,21.05804,55.72813,21.07358,"GALAN","Cargo",974,2016-12-14 17:51:06.000000
55.7138,20.84608,55.71255,20.84023,"GENCO RELIANCE","Cargo",392,2016-12-19 13:05:06.000000
54.53172,18.5387,54.79792,18.96247,"GENCO THUNDER","Cargo",40280,2016-12-13 11:31:08.000000
59.90361,30.08928,59.90687,30.07317,"GEOR.POBEDONOSETS","Cargo",970,2016-12-19 04:39:03.000000
55.72425,21.09582,55.71623,21.1096,"GRAND","Cargo",1242,2016-12-17 17:47:06.000000
57.93951,11.68789,57.9532,11.70476,"GRANDE EUROPA","Cargo",1821,2016-12-19 04:27:05.000000
57.92467,11.6568,57.93787,11.68484,"GRANDE MEDITERRANEO","Cargo",2215,2016-12-14 15:43:05.000000
55.72839,20.93926,55.72941,20.89913,"GREEN ATLANTIC","Cargo",2518,2016-12-14 19:57:06.000000
54.40884,18.6594,54.79766,18.91004,"GREEN MALOY","Cargo",46202,2016-12-13 11:31:08.000000
57.69635,11.91565,57.60435,11.60661,"GUTE","Cargo",21065,2016-12-14 10:09:05.000000
57.66417,11.7795,57.6785,11.80817,"HANNA","Cargo",2336,2016-12-13 14:47:05.000000
55.72609,21.08812,55.72101,21.10265,"HAUKUR","Cargo",1072,2016-12-13 23:43:06.000000
54.53563,18.79585,54.38363,18.67445,"HEINA","Cargo",18655,2016-12-16 01:53:08.000000
59.90443,30.08541,59.90049,30.1049,"HEINRICH SCHEPERS","Cargo",1173,2016-12-15 17:49:04.000000
55.7266,21.08808,55.72045,21.10403,"HELGA","Cargo",1212,2016-12-14 17:03:06.000000
57.99721,11.76468,57.98425,11.75003,"HELGE","Cargo",1682,2016-12-20 06:17:06.000000
54.68575,20.22571,54.68167,20.16127,"HELT","Cargo",4172,2016-12-17 03:39:03.000000
57.99985,11.7647,54.53416,18.53954,"HENDRIKA MARGARETHA","Cargo",568935,2016-12-13 19:21:05.000000
59.90508,30.08266,59.90027,30.10585,"HENNEKE RAMBOW","Cargo",1401,2016-12-18 08:43:04.000000
57.65933,11.76417,57.66784,11.78583,"HOEGH TRIDENT","Cargo",1600,2016-12-14 17:13:05.000000
59.90368,30.08942,59.90839,30.06607,"HOOD ISLAND","Cargo",1405,2016-12-19 14:25:03.000000
59.91205,30.04817,59.9176,30.02119,"HOOGE","Cargo",1627,2016-12-15 15:07:04.000000
59.91746,30.02093,59.91454,30.03516,"HVITANES","Cargo",858,2016-12-13 18:51:03.000000
59.86925,30.21973,59.86879,30.22008,"ICE RIVER","Cargo",55,2016-12-13 21:01:04.000000
57.63196,11.68386,57.64557,11.70243,"ICE RUNNER","Cargo",1876,2016-12-16 23:35:04.000000
57.68828,11.89038,57.69333,11.90667,"ICELAND CEMENT","Cargo",1120,2016-12-18 23:49:06.000000
57.93297,12.067,57.91244,12.0521,"IDA H","Cargo",2449,2016-12-16 15:51:05.000000
54.53852,18.7965,54.53519,18.60099,"IDUNA","Cargo",12632,2016-12-13 20:39:07.000000
59.91415,30.03794,59.91727,30.02257,"INA LOTTE","Cargo",925,2016-12-14 15:13:03.000000
55.72871,20.8066,54.52922,18.79969,"IRIS BOLTEN","Cargo",184767,2016-12-14 16:05:07.000000
54.70267,20.45184,54.6701,20.14155,"IVAN SHCHEPETOV","Cargo",20293,2016-12-14 18:27:03.000000
55.73813,20.81173,55.73795,20.83695,"IVS KITE","Cargo",1581,2016-12-14 16:09:07.000000
55.69443,20.88115,55.68204,20.84196,"JADE","Cargo",2820,2016-12-14 22:57:06.000000
57.65103,11.79379,57.60263,11.79241,"JETTEN GBG STAD VA","Cargo",5388,2016-12-14 10:09:05.000000
57.93277,11.67727,57.92633,11.655,"JOMI","Cargo",1499,2016-12-15 11:27:06.000000
57.61271,11.67293,57.60165,11.66195,"JONNI RITSCHER","Cargo",1394,2016-12-19 03:53:05.000000
54.74922,18.79885,54.52568,18.79155,"JSP ROVER","Cargo",24889,2016-12-18 07:51:07.000000
54.40063,18.68073,54.79893,18.91331,"JUNO","Cargo",46806,2016-12-17 12:41:06.000000
54.54105,18.56006,54.54105,18.56006,"K1","Cargo",0,2016-12-14 02:29:07.000000
59.91813,30.01789,59.92081,30.00438,"KAIE","Cargo",811,2016-12-18 17:03:03.000000
59.91663,30.02603,59.91975,30.01034,"KAPITAN MIRONOV","Cargo",942,2016-12-20 02:29:03.000000
59.90648,30.07582,59.9024,30.09604,"KAPITAN YAKOVLEV","Cargo",1217,2016-12-16 08:59:03.000000
54.53783,18.7925,54.52833,18.60333,"KAREN C","Cargo",12264,2016-12-18 10:41:07.000000
54.53971,18.79936,54.44456,18.65324,"KAROLI","Cargo",14193,2016-12-19 13:01:08.000000
59.91918,30.01302,59.91596,30.02845,"KEGUMS","Cargo",933,2016-12-13 21:33:03.000000
54.53472,18.7923,54.79873,18.93636,"KERLI","Cargo",30818,2016-12-15 18:47:07.000000
59.89115,30.20763,59.89617,30.21417,"KNOSSOS","Cargo",668,2016-12-16 09:53:03.000000
55.72777,21.08245,55.72832,21.06178,"KONYA","Cargo",1297,2016-12-15 16:19:07.000000
54.6377,19.98747,54.63397,19.93747,"KOZNITZA","Cargo",3248,2016-12-20 09:31:03.000000
54.4011,18.7292,54.4429,18.99962,"KYMOPOLIA","Cargo",18122,2016-12-16 12:17:09.000000
57.99671,12.12702,57.98264,12.12585,"LADY AMI","Cargo",1568,2016-12-19 12:33:05.000000
54.53688,18.78938,54.5351,18.60698,"LANTAU ARROW","Cargo",11782,2016-12-13 13:05:07.000000
55.6684,21.14289,55.65171,21.15729,"LARGONA","Cargo",2066,2016-12-17 10:07:06.000000
59.90895,30.06353,59.90585,30.07876,"LAVAUX","Cargo",917,2016-12-14 22:29:03.000000
59.91127,30.052,59.91562,30.03036,"LAZURITE","Cargo",1301,2016-12-20 05:35:03.000000
